evaluations raw_y
1 21.9396560618
3 16.3404535306
11 14.3974282079
13 13.3067113405
19 12.9236185656
24 9.8740347946
44 7.1156773037
120 6.3805289440
150 17.4953158519
evaluations raw_y
1 60.6929910197
2 17.6969831305
4 10.8382359361
14 9.0722645464
17 7.0827874651
24 6.8726617508
94 3.8350473834
150 77.6018369820
evaluations raw_y
1 13.8236712597
2 13.7188067604
4 11.9222301804
40 8.3073810957
58 8.2393791888
107 6.8637881549
150 12.0934928513
evaluations raw_y
1 19.7041247853
2 19.3173156582
3 10.3289959417
18 9.4515128405
22 5.8943915040
63 4.9572593235
148 4.7210251668
150 173.7276059835
evaluations raw_y
1 42.2649216834
3 20.7263906775
4 15.2726953307
9 7.1314463185
34 6.6667901541
135 4.8387965693
150 27.7476682136
evaluations raw_y
1 13.7768552009
6 9.6337063237
15 5.0410554516
77 3.4663652094
150 18.7921248496
evaluations raw_y
1 20.5979797090
2 12.7370998984
6 6.7707909647
11 0.9158664723
150 7.7478169894
evaluations raw_y
1 14.7394213187
4 13.1016307059
5 12.4570111517
16 7.4647692071
20 5.6993532045
98 4.5437713451
150 57.3364526151
evaluations raw_y
1 6.4535958175
68 6.2125210878
72 4.9167467265
121 4.3870397405
150 19.5438947966
evaluations raw_y
1 17.4272669771
2 15.0856015860
4 8.7920346353
27 7.6719993559
46 5.7342003557
119 3.1803780050
150 78.7192486580
evaluations raw_y
1 29.3350830905
3 25.9002580663
4 20.1416167942
7 13.4341139014
11 12.6416170157
16 10.8723064445
27 8.5005037741
31 4.3234473249
150 18.4618329013
evaluations raw_y
1 28.1961578890
3 12.0065668762
11 6.8113150052
20 4.5150860221
150 222.7103420393
evaluations raw_y
1 568.3848719155
2 46.5915717720
3 19.2687823904
4 15.3889201566
16 13.0310896478
22 7.1014251190
129 7.0526204255
150 36.6179374824
evaluations raw_y
1 16.7936031266
7 15.2038436506
10 13.9114370709
11 13.8224493520
18 12.5383265250
37 12.3078462231
48 9.6923984555
49 5.9384812615
129 5.7473048560
141 5.4761260042
150 15.8188262547
evaluations raw_y
1 26.0731602678
2 24.3441418532
5 15.2204969945
9 8.5094286550
42 7.1621953546
80 6.2232098554
150 19.9600739370
evaluations raw_y
1 28.3776009650
2 7.2321435894
150 124.8987133613
evaluations raw_y
1 50.5035309116
2 23.0986084397
9 18.6949948429
13 17.9550360085
18 14.4988067624
26 10.1571678951
44 5.3495566012
75 5.2729386024
150 4.9618355105
evaluations raw_y
1 91.1172477324
2 22.4161283094
3 15.2442785922
6 14.6835988038
8 14.0816595553
14 6.7981361041
72 6.4390398897
150 26.6966480168
evaluations raw_y
1 234.0251644078
2 44.6095501229
3 12.7296776179
13 11.9824815687
20 11.2630029141
77 9.9256635961
90 2.6710152419
150 144.9162555814
evaluations raw_y
1 107.8730865956
2 4.7564992511
150 37.5770209482
evaluations raw_y
1 22.7120979361
2 20.2429282823
3 14.8406191560
8 9.4590832736
18 9.0960965240
48 9.0857104671
55 8.9301321355
68 7.5587422817
81 5.9544625673
150 6.8222256333
evaluations raw_y
1 26.7912872779
2 24.3094930652
3 21.5007045766
4 14.3052567233
8 9.9002872419
10 2.7555028827
61 1.5323805217
150 16.2064881011
evaluations raw_y
1 30.8073030752
3 11.5908545070
7 11.1043426014
14 9.2296146705
15 7.6578343239
19 5.0596137455
150 30.5085995557
evaluations raw_y
1 19.9853235243
2 12.1925051717
6 8.7497264886
7 6.7364986199
42 3.1646831664
83 2.7710933662
150 17.5028777125
evaluations raw_y
1 46.9799418690
2 20.0999292089
3 12.6722918788
4 9.6618758279
8 8.4427840550
13 7.5069125008
21 7.2578310804
46 2.5938581739
150 14.8060689406
evaluations raw_y
1 19.4496174785
2 6.3453633901
18 4.4060181080
99 4.3343000170
105 2.9131687534
150 19.5368528683
evaluations raw_y
1 65.1236026072
2 8.9626435601
15 5.9354697701
25 4.4476714932
150 29.7955561142
evaluations raw_y
1 139.1231978905
2 18.4805702540
5 9.1134019789
17 5.3524132076
84 3.9751962277
150 24.2486135137
evaluations raw_y
1 15.2386508713
3 10.8016231116
6 3.9829896690
150 25.0200775646
evaluations raw_y
1 42.2828279894
2 40.2958618524
3 20.7336355751
7 11.4121031694
46 9.9771882467
63 6.9725797807
132 6.7018914141
150 60.3029091373
evaluations raw_y
1 75.6311536878
2 14.1246469546
11 10.3542865056
29 10.1688033120
30 7.4676007786
48 5.4852818829
115 4.2509008400
150 10.4782296131
evaluations raw_y
1 30.9760725190
4 25.4746823281
5 20.6208563842
6 19.3183796626
7 17.7003432129
12 6.7537307253
91 6.0507427242
121 5.7522475555
124 5.7492041859
135 2.9729414856
150 41.8620055913
evaluations raw_y
1 25.8914009106
4 9.5437000553
9 8.6254345151
37 6.0244415355
150 31.0037893299
evaluations raw_y
1 10.3034292574
8 9.8068837480
42 8.6806052573
44 7.7568733581
135 6.6960416059
150 43.2607823673
evaluations raw_y
1 23.4755461961
2 17.2470710332
3 12.7241084667
10 11.8095204488
19 9.6999875888
42 3.5652967808
147 2.7384150803
150 102.6521202471
evaluations raw_y
1 28.8930512174
2 14.1864481469
6 13.1828098497
10 12.0743075238
15 9.9333064293
23 7.2280117370
29 5.4705596186
49 5.3522944475
150 26.5702226127
evaluations raw_y
1 96.1791434783
3 49.7727477376
4 34.2172702044
5 14.5547097046
10 5.7333057306
101 3.5542056527
150 55.4867877247
evaluations raw_y
1 24.5079001950
2 8.1356723707
7 7.2347497359
46 5.8380888825
150 22.2211031873
evaluations raw_y
1 54.5462812132
2 5.2443956121
150 16.4632932788
evaluations raw_y
