evaluations raw_y
1 30.0925972032
2 8.9692397029
3 6.8125114944
51 6.3509548150
76 2.3123905855
90 23.6842595961
evaluations raw_y
1 30.0925972032
2 8.9692397029
3 6.8125114944
51 6.3509548150
76 2.3123905855
90 23.6842595961
evaluations raw_y
1 30.0925972032
2 8.9692397029
3 6.8125114944
51 6.3509548150
76 2.3123905855
90 23.6842595961
evaluations raw_y
1 30.0925972032
2 8.9692397029
3 6.8125114944
51 6.3509548150
76 2.3123905855
90 23.6842595961
evaluations raw_y
1 30.0925972032
2 8.9692397029
3 6.8125114944
51 6.3509548150
76 2.3123905855
90 23.6842595961
evaluations raw_y
1 35.8682684208
3 11.8243495554
7 5.1958154652
37 0.7016239581
90 16.2539981938
evaluations raw_y
1 35.8682684208
3 11.8243495554
7 5.1958154652
37 0.7016239581
90 16.2539981938
evaluations raw_y
1 35.8682684208
3 11.8243495554
7 5.1958154652
37 0.7016239581
90 16.2539981938
evaluations raw_y
1 35.8682684208
3 11.8243495554
7 5.1958154652
37 0.7016239581
90 16.2539981938
evaluations raw_y
1 35.8682684208
3 11.8243495554
7 5.1958154652
37 0.7016239581
90 16.2539981938
evaluations raw_y
1 12.0612887761
5 6.4814740190
27 6.0070628791
56 5.6115747227
79 4.3520707666
90 7.5354438716
evaluations raw_y
1 12.0612887761
5 6.4814740190
27 6.0070628791
56 5.6115747227
79 4.3520707666
90 7.5354438716
evaluations raw_y
1 12.0612887761
5 6.4814740190
27 6.0070628791
56 5.6115747227
79 4.3520707666
90 7.5354438716
evaluations raw_y
1 12.0612887761
5 6.4814740190
27 6.0070628791
56 5.6115747227
79 4.3520707666
90 7.5354438716
evaluations raw_y
1 12.0612887761
5 6.4814740190
27 6.0070628791
56 5.6115747227
79 4.3520707666
90 7.5354438716
evaluations raw_y
1 15.9325438832
3 15.3712167999
7 10.5578938662
8 8.5253402997
14 3.8189008573
81 2.2906678565
90 11.7136753932
evaluations raw_y
1 15.9325438832
3 15.3712167999
7 10.5578938662
8 8.5253402997
14 3.8189008573
81 2.2906678565
90 11.7136753932
evaluations raw_y
1 15.9325438832
3 15.3712167999
7 10.5578938662
8 8.5253402997
14 3.8189008573
81 2.2906678565
90 11.7136753932
evaluations raw_y
1 15.9325438832
3 15.3712167999
7 10.5578938662
8 8.5253402997
14 3.8189008573
81 2.2906678565
90 11.7136753932
evaluations raw_y
1 15.9325438832
3 15.3712167999
7 10.5578938662
8 8.5253402997
14 3.8189008573
81 2.2906678565
90 11.7136753932
evaluations raw_y
1 40.6262146306
4 35.3471713693
5 5.2281759016
90 4.0924433555
evaluations raw_y
1 40.6262146306
4 35.3471713693
5 5.2281759016
90 4.0924433555
evaluations raw_y
1 40.6262146306
4 35.3471713693
5 5.2281759016
90 4.0924433555
evaluations raw_y
1 40.6262146306
4 35.3471713693
5 5.2281759016
90 4.0924433555
evaluations raw_y
1 40.6262146306
4 35.3471713693
5 5.2281759016
90 4.0924433555
evaluations raw_y
1 32.9072673726
2 19.5517869213
3 17.2554560763
4 11.6895787272
11 2.3655488974
78 1.6539336776
90 11.5729666807
evaluations raw_y
1 32.9072673726
2 19.5517869213
3 17.2554560763
4 11.6895787272
11 2.3655488974
78 1.6539336776
90 11.5729666807
evaluations raw_y
1 32.9072673726
2 19.5517869213
3 17.2554560763
4 11.6895787272
11 2.3655488974
78 1.6539336776
90 11.5729666807
evaluations raw_y
1 32.9072673726
2 19.5517869213
3 17.2554560763
4 11.6895787272
11 2.3655488974
78 1.6539336776
90 11.5729666807
evaluations raw_y
1 32.9072673726
2 19.5517869213
3 17.2554560763
4 11.6895787272
11 2.3655488974
78 1.6539336776
90 11.5729666807
evaluations raw_y
1 30.9866237763
2 29.1919481949
3 10.3932333970
21 9.9628050990
26 8.6725879020
37 7.7762293584
38 5.8581472433
81 5.7933291901
89 4.1084371269
90 6.9044457451
evaluations raw_y
1 30.9866237763
2 29.1919481949
3 10.3932333970
21 9.9628050990
26 8.6725879020
37 7.7762293584
38 5.8581472433
81 5.7933291901
89 4.1084371269
90 6.9044457451
evaluations raw_y
1 30.9866237763
2 29.1919481949
3 10.3932333970
21 9.9628050990
26 8.6725879020
37 7.7762293584
38 5.8581472433
81 5.7933291901
89 4.1084371269
90 6.9044457451
evaluations raw_y
1 30.9866237763
2 29.1919481949
3 10.3932333970
21 9.9628050990
26 8.6725879020
37 7.7762293584
38 5.8581472433
81 5.7933291901
89 4.1084371269
90 6.9044457451
evaluations raw_y
1 30.9866237763
2 29.1919481949
3 10.3932333970
21 9.9628050990
26 8.6725879020
37 7.7762293584
38 5.8581472433
81 5.7933291901
89 4.1084371269
90 6.9044457451
evaluations raw_y
1 22.8084072418
3 8.8204007809
4 2.3033827659
90 21.7125988130
evaluations raw_y
1 22.8084072418
3 8.8204007809
4 2.3033827659
90 21.7125988130
evaluations raw_y
1 22.8084072418
3 8.8204007809
4 2.3033827659
90 21.7125988130
evaluations raw_y
1 22.8084072418
3 8.8204007809
4 2.3033827659
90 21.7125988130
evaluations raw_y
1 22.8084072418
3 8.8204007809
4 2.3033827659
90 21.7125988130
evaluations raw_y
1 18.2126082746
2 10.6361890008
15 7.9535554608
65 4.1549204671
78 3.4991261666
84 2.7425279238
90 6.1811690376
evaluations raw_y
1 18.2126082746
2 10.6361890008
15 7.9535554608
65 4.1549204671
78 3.4991261666
84 2.7425279238
90 6.1811690376
evaluations raw_y
1 18.2126082746
2 10.6361890008
15 7.9535554608
65 4.1549204671
78 3.4991261666
84 2.7425279238
90 6.1811690376
evaluations raw_y
1 18.2126082746
